cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,10,29,右下,1,1,4,0,4,0,0,7,7,8,,,,,,,,,,,,,,,86,296.4511485,296.5512797,296.5512797,298.9448738,298.9448738,298.9448738,1,1,1,1.6409193,None,298.9448738,299.4433238,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,8,20,右下,1,1,4,0,4,0,0,8,8,0,,,,,,,,,,,,,,,35,299.4433238,299.5433731,299.5433731,301.936798,301.936798,301.936798,1,1,1,1.0942138,None,301.936798,302.4354708,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,15,10,右下,0,2,4,0,4,0,0,9,9,4,,,,,,,,,,,,,,,30,302.4354708,302.535665,302.535665,304.9289344,304.9289344,304.9289344,1,2,1,1.1765806,None,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.9289344,334.8840434,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,50,右下,0,2,5,0,5,0,0,0,0,8,,,,,,,,,,,334.8840434,336.8787214,336.8787214,337.3816418,87,337.3816418,337.4771973,337.4771973,339.8704908,339.8704908,339.8704908,1,2,1,0.9391114,None,339.8704908,340.3693418,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,15,41,右下,0,2,5,0,5,0,0,1,1,0,,,,,,,,,,,,,,,38,340.3693418,340.4694955,340.4694955,342.8629409,342.8629409,342.8629409,1,2,1,2.0172028,None,342.8629409,343.3613742,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,18,13,右上,1,1,5,0,5,0,0,2,2,9,,,,,,,,,,,,,,,64,343.3613742,343.4615275,343.4615275,345.8551871,345.8551871,345.8551871,1,1,1,0.7375441,None,345.8551871,346.3536223,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,10,37,右上,0,2,5,0,5,0,0,3,3,4,,,,,,,,,,,,,,,19,346.3536223,346.4538898,346.4538898,348.8472518,348.8472518,348.8472518,1,2,1,1.5889279,None,348.8472518,349.3457314,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,16,35,左下,1,1,5,0,5,0,0,4,4,3,,,,,,,,,,,,,,,49,349.3457314,349.4458818,349.4458818,351.8394338,351.8394338,351.8394338,0,2,0,1.9599255,None,351.8394338,352.3382142,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,8,21,右下,1,1,5,0,5,0,0,5,5,6,,,,,,,,,,,,,,,58,352.3382142,352.4375861,352.4375861,354.8315188,354.8315188,354.8315188,1,1,1,1.5444265,None,354.8315188,355.329936,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
